,id,format,victory_status,book_moves,opening_name,winner,turns,white_id,white_rating,black_id,black_rating
9624,oeKZfbZM,Blitz,outoftime,3,Bishop's Opening,white,27,suskunkral,1591,mashi,1348
9625,XrrSqsLH,Rapid,resign,3,Bishop's Opening,white,19,al-ol-da55,1531,mashi,1354
9626,wqVfMtL1,Rapid,resign,5,Ruy Lopez,white,23,mashi,1337,ivox100,1567
9627,hywQiDO9,Rapid,resign,3,Sicilian Defense: Closed Variation,black,53,mashi,1349,hasseplayschess,1308
9628,c2jR4LLr,Rapid,outoftime,8,Italian Game: Giuoco Pianissimo |  Normal,black,28,sanskrit,1354,mashi,1337
9629,uLpKebwX,Rapid,resign,4,Sicilian Defense: Closed Variation |  Traditional,black,14,mashi,1345,chrisg97,1471
9630,NxiFn3UA,Rapid,resign,3,Sicilian Defense: Closed Variation,black,26,mashi,1352,javaz,1503
9631,wsVUrD0r,Rapid,resign,6,Giuoco Piano,white,45,fabri18,1336,mashi,1364
9632,KCkUGpOT,Rapid,resign,6,Ruy Lopez: Classical Variation,white,39,hidanao,1527,mashi,1371
9633,QrDl6KmE,Blitz,outoftime,5,Queen's Pawn Game: Symmetrical Variation |  Pseudo-Catalan,white,35,tekechec,1572,mashi,1376
9634,0v0BpkZ5,Blitz,mate,3,King's Pawn Game: Nimzowitsch Defense,black,34,mashi,1382,tekechec,1567
9635,DWSeTh4w,Rapid,resign,8,Ruy Lopez: Berlin Defense |  Beverwijk Variation,white,34,shamusokeefe,1372,mashi,1395
9636,KQUiTt7P,Rapid,outoftime,11,Italian Game: Two Knights Defense |  Polerio Defense |  Bishop Check Line,white,61,nicknick33,1412,mashi,1406
9637,uPhqRqbs,Rapid,resign,7,Alekhine Defense #3,black,26,mashi,1414,martanietzsche,1557
9638,UtNlgfdi,Rapid,resign,5,Nimzowitsch Defense: Scandinavian Variation |  Advance Variation,white,41,mashi,1398,ketan_a_mahajan,1515
9639,kHmSQxwH,Blitz,resign,2,French Defense #2,black,18,mashi,1415,thekingdomcome,1437
9640,j7WgO6Pq,Classical,mate,9,Ruy Lopez: Morphy Defense |  Anderssen Variation,black,46,mashi,1421,wargoss,1630
